product_id,unit_price,category_code,category_id,brand
1515966223509089024,185.16,appliances.kitchen.coffee_machine,2.26810544530444e+18,vitek
1515966223509089025,23.13,appliances.personal.hair_cutter,2.26810540255609e+18,rowenta
1515966223509089026,310.16,appliances.kitchen.washer,2.26810539008223e+18,beko
1515966223509089027,381.92,appliances.kitchen.oven,2.2681053885555e+18,bosch
1515966223509089028,174.28,electronics.smartphone,2.26810542816651e+18,xiaomi
1515966223509089030,365.72,computers.notebook,2.26810540722016e+18,lenovo
1515966223509089031,168.96,computers.ebooks,2.26810542672367e+18,pocketbook
1515966223509089032,69.42,furniture.kitchen.table,2.26810544303951e+18,tefal
1515966223509089033,462.94,computers.notebook,2.26810540722016e+18,lenovo
1515966223509089034,324.05,appliances.kitchen.washer,2.2681053899564e+18,lg
1515966223509089038,127.29,electronics.audio.microphone,2.26810542193377e+18,trust
1515966223509089039,324.05,appliances.kitchen.washer,2.2681053899564e+18,samsung
1515966223509089040,161.55,electronics.smartphone,2.26810542816651e+18,xiaomi
1515966223509089042,155.96,,2.26810541586881e+18,agu
1515966223509089045,18.5,,2.26810542840139e+18,xiaomi
1515966223509089048,62.48,computers.peripherals.keyboard,2.26810540635613e+18,bloody
1515966223509089049,277.75,electronics.clocks,2.26810542859433e+18,samsung
1515966223509089050,162.01,electronics.tablet,2.26810542664817e+18,lenovo
1515966223509089051,11.55,computers.peripherals.keyboard,2.26810540635613e+18,delux
1515966223509089052,358.77,electronics.video.tv,2.37449891400059e+18,lg
1515966223509089053,173.59,appliances.environment.air_conditioner,2.360741867018e+18,ava
1515966223509089054,30.07,,2.26810540382277e+18,philips
1515966223509089056,115.49,electronics.smartphone,2.26810542816651e+18,oppo
1515966223509089059,624.98,,2.26810542605258e+18,canon
1515966223509089060,460.63,computers.notebook,2.26810540722016e+18,lenovo
1515966223509089062,254.61,apparel.glove,2.26810545845777e+18,nintendo
1515966223509089063,161.55,electronics.smartphone,2.26810542816651e+18,xiaomi
1515966223509089064,810.16,electronics.smartphone,2.26810542816651e+18,apple
1515966223509089065,92.57,,2.2681053898809e+18,tefal
1515966223509089067,138.87,electronics.smartphone,2.26810542816651e+18,samsung
1515966223509089068,249.98,electronics.audio.headphone,2.268105430163e+18,apple
1515966223509089069,59.0,appliances.personal.hair_cutter,2.26810540255609e+18,braun
1515966223509089073,462.94,appliances.kitchen.washer,2.2681053899564e+18,lg
1515966223509089074,37.01,appliances.personal.hair_cutter,2.26810540255609e+18,philips
1515966223509089075,57.85,appliances.personal.hair_cutter,2.26810540255609e+18,philips
1515966223509089076,161.78,electronics.smartphone,2.26810542816651e+18,samsung
1515966223509089077,1388.87,electronics.video.tv,2.37449891400059e+18,sony
1515966223509089079,312.48,furniture.living_room.chair,2.26810544787974e+18,thermaltake
1515966223509089080,254.61,electronics.smartphone,2.26810542816651e+18,samsung
1515966223509089081,30.07,,2.26810542752897e+18,apple
1515966223509089240,312.48,appliances.kitchen.hood,2.26810538938597e+18,gorenje
1515966223509089241,16.18,stationery.cartrige,2.2681054082939e+18,hp
1515966223509089244,13.87,appliances.personal.scales,2.26810544004478e+18,vitek
1515966223509089245,85.63,appliances.personal.hair_cutter,2.26810540255609e+18,philips
1515966223509089246,474.51,appliances.kitchen.washer,2.2681053899564e+18,lg
1515966223509089247,925.9,computers.notebook,2.26810540722016e+18,hp
1515966223509089248,55.53,,2.26810546568036e+18,
1515966223509089250,121.5,computers.peripherals.monitor,2.26810540922503e+18,lg
1515966223509089251,41.64,,2.26810546568036e+18,
1515966223509089252,5.76,computers.peripherals.mouse,2.26810540654907e+18,genius
1515966223509089254,312.48,furniture.living_room.chair,2.26810544787974e+18,thermaltake
1515966223509089256,532.38,electronics.tablet,2.26810542664817e+18,samsung
1515966223509089258,335.63,appliances.kitchen.refrigerators,2.26810539396615e+18,caso
1515966223509089260,157.15,appliances.environment.vacuum,2.26810539207033e+18,thomas
1515966223509089261,254.61,electronics.smartphone,2.26810542816651e+18,samsung
1515966223509089262,42.8,,2.26810540382277e+18,braun
1515966223509089263,32.38,,2.26810540382277e+18,philips
1515966223509089264,219.88,appliances.kitchen.refrigerators,2.26810539384871e+18,beko
1515966223509089265,231.46,appliances.environment.air_conditioner,2.36074186691733e+18,beko
1515966223509089266,37.01,,2.26810540382277e+18,philips
1515966223509089267,21.97,computers.components.hdd,2.26810541049171e+18,transcend
1515966223509089268,104.14,electronics.smartphone,2.26810542816651e+18,samsung
1515966223509089269,16.18,appliances.personal.scales,2.26810544004478e+18,polaris
1515966223509089270,122.66,furniture.living_room.chair,2.26810544787974e+18,aerocool
1515966223509089272,307.85,,2.26810543932336e+18,beko
